sid	001B	003B	013B	014B	019B	020B	025B	026B	045B	052B	064B	069B	070B	087B	093B	099B	100B	101B	147B	148B	150B	169B	186B	187B	503A	505A	507A	509A	004B	005B	009B	012B	016B	017B	027B	028B	030B	035B	037B	038B	040B	041B	049B	053B	056B	061B	067B	068B	072B	078B	082B	088B	089B	103B	104B	105B	107B	108B	109B	110B	112B	126B	128B	140B	142B	144B	170B	172B	174B	176B	178B	179B	008B	029B	032B	033B	034B	036B	047B	051B	071B	073B	075B	076B	079B	080B	084B	090B	091B	092B	094B	096B	097B	102B	502A	504A	506A	508A	011B	018B	021B	031B	042B	043B	055B	057B	060B	062B	063B	066B	077B	085B	086B	119B
group	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	HLT	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	ERA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	RA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA	PsA
Otu239	0	0	0	0	3	0	0	0	0	2	0	0	0	9	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	16	0	0	0	84	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	31	0	0	20	0	0	0	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu240	0	0	0	0	0	30	0	0	0	0	0	0	115	0	0	0	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu242	47	3	0	14	9	17	4	0	47	0	0	0	28	6	10	11	29	0	3	0	3	30	0	0	11	0	0	0	1	7	1	5	0	6	2	13	9	14	5	10	2	4	6	8	4	2	17	2	17	9	9	8	1	37	13	10	5	10	0	13	12	0	1	1	0	2	3	0	0	0	0	0	0	0	1	5	1	7	0	15	0	0	5	0	0	0	6	10	9	11	3	0	9	9	2	4	0	0	10	0	0	6	1	0	0	0	0	0	17	0	0	0	3	12
Otu243	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	222	0	0	0	23	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Otu244	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	59	0	0	2	71	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	10	0	0	0	0	0	0	0	18	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu246	2	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu247	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu249	1	0	0	0	0	163	0	0	95	0	0	0	8	0	0	0	68	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	86	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	2	0	20	0	0	0	0	0	0	0	0	27	0	0	0	0	0
Otu250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	368	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Otu251	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	19	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0
Otu252	65	71	0	0	122	0	27	0	0	11	0	0	0	0	0	0	252	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	24	0	0	0	0	0	0	16	0	0	1	78	7	0	0	0	0	0	0	35	0	10	6	0	29	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu253	22	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Otu254	29	6	7	20	3	39	37	14	0	5	0	0	0	0	1	0	13	0	0	0	0	5	0	1	0	0	12	0	0	22	44	0	0	8	2	17	0	16	4	8	0	2	0	12	16	8	0	0	11	3	22	18	0	15	0	0	1	19	6	6	0	5	1	1	0	0	3	0	0	0	13	0	0	13	15	0	1	23	0	1	8	9	4	0	5	13	9	2	0	8	0	0	10	8	0	0	0	0	0	0	0	37	1	1	0	0	0	0	0	0	0	0	13	17
Otu255	0	0	0	0	0	0	54	2	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	11	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Otu256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	27	0	0	0	0	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	259	0	0	0	0	0	0	0	0	0	0
Otu257	0	0	0	13	0	0	0	0	0	12	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	17	0	8	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu258	3	0	0	0	3	0	0	68	25	4	0	0	15	1	47	0	3	0	0	0	0	0	0	0	0	0	0	0	0	13	24	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	10	0	0	0	2	0	0	1	0	4	3	6	0	0	0	1	1	0	0	0	0	3	0	0	3	0	0	0	8	7	0	0	0	0	10	0	0	0	0	156	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	42
Otu259	4	0	0	1	0	12	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	90	0	0	0	0	9	0	0	2	0	5	23	1	0	0	2	5	0	0	9	1	0	0	0	1	0	0	1	0	2	0	0	3	0	0	1	0	0	0	0	2	0	0	59	5	0	14	0	0	0	0	0	0	0	9	5	0	0	0	0	0	0	0	11	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	24	0	0	6
Otu260	24	0	0	3	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	48	0	0	0	0	0	0	0	73	0	3	51	0	0	0	6	0	0	0	0	3	1	3	0	0	4	0	0	1	0	0	0	0	7	1	0	0	3	3	0	6	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	4	0	41	0	0	0	17	0	0	6	19	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	10	0	0	0	3	0
Otu261	6	2	6	32	0	1	0	1	2	0	0	1	0	0	0	0	1	2	0	3	0	0	1	1	27	7	22	0	2	1	1	1	0	0	0	2	6	1	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	2	0	3	0	0	0	1	0	0	0	2	1	0	0	0	2	0	5	0	4	0	0	1	0	0	12	0	10	1	0	4	0	0	0	0	2	3	4	16	2	2	0	6	2	1	0	0	0	0	3	1	0	1	0	0	1
